nl_query,db
"Retrieve all documents from the ""users"" collection.
",nosql
"Find all products that are currently out of stock.
",nosql
"List all orders placed within the last 30 days.
",nosql
"Get the details of a specific user by their email address.
",nosql
"Show all blog posts tagged as ""MongoDB.""
",nosql
"Find all movies released in the year 2021.
",nosql
"Retrieve customers who have made purchases over $500.
",nosql
"List all employees in the ""Engineering"" department.
",nosql
"Get the top five most expensive products in the catalog.
",nosql
"Find articles authored by ""John Doe.""
",nosql
"Show all tasks that are marked as ""complete.""
",nosql
"Retrieve the number of unique visitors in the last week.
",nosql
"List all songs from the album titled ""Revolution.""
",nosql
"Get details of all transactions from a specific store location.
",nosql
"Find all reviews with a rating of 4 stars or higher.
",nosql
"Retrieve all comments from the last 24 hours.
",nosql
"Show all books written by ""Jane Austen.""
",nosql
"Find all hotels in ""New York City"" with available rooms.
",nosql
"Retrieve the latest news articles sorted by publication date.
",nosql
"List all products with a discount greater than 20%.
",nosql
"Get all user profiles created after January 1, 2020.
",nosql
"Find all courses in the ""Computer Science"" category.
",nosql
"Retrieve restaurants open after 10 PM on weekends.
",nosql
"Show all movies streaming in ""HD"" quality.
",nosql
"Find all cars listed in the ""SUV"" category for sale.
",nosql
"Retrieve all photo albums created by ""alice@example.com.""
",nosql
"List all events happening in the month of December.
",nosql
"Get documents from the ""inventory"" collection with stock less than 10.
",nosql
"Find all employees with a title of ""Manager.""
",nosql
"Retrieve all flights departing from ""JFK Airport.""
",nosql
"List all available job postings in ""San Francisco.""
",nosql
"Get the contact information of all suppliers.
",nosql
"Find all recipes that are vegan-friendly.
",nosql
"Retrieve all locations where ""John"" has checked in.
",nosql
"Show all museums located in ""Los Angeles.""
",nosql
"Find articles published in ""Science"" magazine.
",nosql
"Retrieve all podcasts under 30 minutes in duration.
",nosql
"List all artists who have won a ""Grammy Award.""
",nosql
"Get all rental properties with monthly rent below $2000.
",nosql
"Find all conference sessions scheduled for today.
",nosql
"Retrieve all clients with overdue payments.
",nosql
"Show all images uploaded in the ""Nature"" category.
",nosql
"Find all schools offering ""Spanish"" courses.
",nosql
"Retrieve all investment accounts with a balance over $10,000.
",nosql
"List all food items in the ""Gluten-Free"" section.
",nosql
"Get all mobile applications rated above 4.5 stars.
",nosql
"Find all public parks with playground facilities.
",nosql
"Retrieve all television shows with more than three seasons.
",nosql
"Show all athletes competing in the ""Olympics.""
",nosql
"Find articles containing the keyword ""technology.""
",nosql
"Retrieve all companies with more than 500 employees.
",nosql
"List all water activities available in ""Hawaii.""
",nosql
"Get details of all cars with mileage under 50,000 miles.
",nosql
"Find all pets available for adoption.
",nosql
"Retrieve all job candidates with a degree in ""Engineering.""
",nosql
"Show all users who logged in during the last hour.
",nosql
"Find all stores open 24 hours.
",nosql
"Retrieve all online courses that are free.
",nosql
"List all articles with more than 100 likes.
",nosql
"Get all cafes with Wi-Fi in ""London.""
",nosql
