"nl_query","explanation","db"
"What types of fraudulent activities can be detected by observing sudden changes in network topology?","Anomalous patterns and changes are easily identifiable in graphs by observing structural deviations and relationships.","graph"
"Who are the direct and indirect friends of a user within three degrees of separation?","Leveraging the graph structure allows for efficient exploration of connected nodes up to a specified depth without complex joins.","graph"
"Find all companies that have increased their market share by 15% annually in at least two different continents over the past five years.","Analysis of structured market share data across multiple dimensions (time and location) is ideal for relational databases.","rdbms"
"Select the top 3 contractors who have completed at least 20 infrastructure projects with fewer than 2% cost overruns and no safety incidents in the last ten years.","These operations involve multiple joins between tables like projects,budgets,and safety records.","rdbms"
"Find political influencers linked indirectly through media appearances,public statements,and aligned policymaking initiatives,emphasizing ripple effects on electoral outcomes.","Involves tracking indirect paths of influence over wide-ranging political networks.","graph"
"List the top 10 countries with the largest growth in remote work infrastructure,focusing on internet speeds and coworking spaces,in the last 5 years.","Combines data on infrastructure,technological enhancements,and workspace trends efficiently in a relational context.","rdbms"
"Move old transaction records to an archive table while ensuring access remains seamless.","Relational systems manage archiving with partitioning techniques.","rdbms"
"Identify subgraphs where most nodes have high connectivity scores.","Graph metrics such as clustering coefficients are efficiently computed.","graph"
"Detect and merge duplicate customer records efficiently.","Duplicate detection using complex criteria is efficiently handled.","rdbms"
"Find all cities that can be reached by traveling through less than four train connections and list those with significant yearly growth in tourism.","Graphs handle connections and path queries efficiently,especially with added constraints on growth metrics.","graph"
"List the top global wine producers by production volume and international awards won over the past 10 years.","Relational databases excel at merging production and award datasets._","rdbms"
"How do message propagation patterns appear in a communication network?","Graph models can map and analyze the flow of information through nodes (people or devices).","graph"
"Find all documents with an array field containing more than 5 elements.","This requires checking the size of an array,a difficult task in SQL without predefined constraints or additional processing.","nosql"
"Identify gaps in technology adoption networks where partnerships could enhance infrastructure delivery.","Graph models assist in illuminating potential strategic alliances through gap analysis.","graph"
"Identify business partners who have invested in at least three startups and are linked through either shared investments or previous venture collaborations,highlighting their investment success rate.","Requires complex mapping of business relationships and historical successes.","graph"
"List the top 20 charities with the highest impact scores that have operated in more than 5 countries and maintained administrative costs below 10% over the past decade.","Efficiently manages complex filtering,joins,and aggregation related to impact and financials.","rdbms"
"List all authors who have published at least five bestsellers in the last ten years while their books' average ratings stayed above 4.5 stars.","This query involves complex joins between sales and review databases.","rdbms"
"Get user profiles with dynamically evolving attributes extracted from their activity logs.","Schemaless NoSQL solutions allow for dynamic attribute growth without needing alteration commands.","nosql"
"Find products that have seen a 50% increase in view rate during specific festive sales,aggregated by product category and week.","NoSQL databases handle massive shifts in product view rates effectively,especially when analyzing across fluctuating periods like sales.","nosql"
"Generate analytics on multimedia interaction in social feeds over the past 24 hours.","Optimized for real time and reactive data analytics,NoSQL efficiently handles such queries.","nosql"
"Analyze resource allocation and sharing between departments within a large organization.","Sharing and resource networking can be analyzed through interconnected relationship graphs.","graph"
"List the top 25 employees with the longest tenures and highest client satisfaction ratings who have worked in at least three different departments.","Involves complex joins,filters,and sorting of structured data across multiple dimensions.","rdbms"
"Find all social media posts related to #Travel with embedded comments and reactions.","Document stores like MongoDB can handle embedded documents for reactions and comments more efficiently than relational JOINs.","nosql"
"Find all customers who made more than three purchases in the past month.","Relational databases are optimized for handling joins and aggregations quickly.","rdbms"
"Find the top 5 cities with the highest average annual increase in population density over the past decade,specifically for cities with populations exceeding 1 million.","Requires calculating growth rates over time with constraints on population size,supported by rich aggregation features in relational databases.","rdbms"
"Identify customers who haven’t ordered in the last year.","Databases like SQL rely on index scans and subqueries to efficiently identify non matches.","rdbms"
"Join customer data from two different schemas owned by different departments.","RDBMS are designed to handle queries across schemas while maintaining performance.","rdbms"
"Detect community or network patterns within a social network.","Graph algorithms for community detection are direct,whereas SQL lacks such built in functions.","graph"
"Work with temporary datasets efficiently during complex operations.","Temporary tables and variables are efficiently managed in RDBMS.","rdbms"
"Spot the top 4 environmental factors with the most significant impact on crop yields across 5 regions over the past year,and evaluate average yield variation by factor.","NoSQL databases can handle the varied and voluminous environmental data flexibly and with ease.","nosql"
"Identify the top 10 cities for international students based on average academic performance and post-graduation employment rates,over the past 5 years.","Efficiently manages diverse data sets involving academic and employment statistics.","rdbms"
"Get the top 10 highest-paid employees in the sales department.","Relational databases efficiently execute ORDER BY and LIMIT clauses,allowing for quick retrieval of top-ranked results.","rdbms"
"Which developers contribute to the same projects in a software development network?","Graph databases model collaborative networks,efficiently querying shared project relationships.","graph"
"Automatically adjust inventory when an order is processed.","Triggers allow automatic actions on data changes,efficiently managed in RDBMS.","rdbms"
"Analyze the diffusion of innovation through professional networks.","Innovation diffusion analysis leverages interconnected structures and adoption paths.","graph"
"Parse and query patterns in unstructured log data.","Elasticsearch and similar NoSQL databases can index and search through unstructured data efficiently.","nosql"
"Evaluate personalized advertisement effectiveness by user behavior sequencing and location preference in the most recent quarter.","NoSQL databases can store large scales of user behavior data in formats that are not restricted by rigid schemas.","nosql"
"Show customer order history for those who spent more than $1,000.","Aggregation and filtering of transactional data are strengths of relational databases.","rdbms"
"Bring together logs from varying medical instrumentation to recognize patterns in patient health analytics.","Diverse data integration from numerous distinct devices benefits from a NoSQL system’s multi-model support.","nosql"
"Locate all blog authors who contribute to multiple platforms and have increased their follower base in the past year.","Tracking authors across platforms involves multi-node traversal,which graph databases handle adeptly.","graph"
"Find the 10 hospitals that have maintained an average patient satisfaction rating of over 95% after performing more than 10,000 surgeries annually,categorized by types of surgery over the past five years.","The robust relational setup effectively supports indexing and specialized subquery operations needed for detailed health metrics analysis.","rdbms"
"Find all movies with actors who each have up to three connections through shared filmography and have increasing box office performance.","The multi-actor relationship graph is a classical problem for graph solutions.","graph"
"Identify products whose sales have doubled each quarter in the last two years in at least three different regions.","You need complex computations on sales trends and geographical data,making use of efficient indexed queries.","rdbms"
"Retrieve all orders containing products in both the electronics and home appliance categories.","Handling set-based operations requiring EXISTS clauses or INNER JOINs.","rdbms"
"Trace the supply chain path of a product from manufacturer to retailer.","Supply chain networks are best represented as graphs for traversal and analysis.","graph"
"Identify definitive story arcs in literary networks and correlate their popularity across different demographics.","Graphs assist in finding and analyzing storytelling patterns across integrated literature.","graph"
"Rank the top environmental sensor anomalies by duration and environmental factor,observed in various ecosystems throughout the last year.","Sensor data complexities and rapid update requirements are well suited for NoSQL systems optimized for high write/read operations.","nosql"
"Measure user sentiment over social media posts,integrating structured and unstructured feeds.","Text analysis requires schema flexibility for unstructured feeds that NoSQL can handle without sacrificing performance via denormalization.","nosql"
"List customers who have not purchased within the past year but spent over $5,000 the year before.","Complex condition checking with historical transaction records.","rdbms"
"Fetch all blog posts with more than 100 comments.","Databases efficiently manage indexed searches on related tables.","rdbms"
"Computing page rank over a web scale set of interconnected documents.","Graph databases pruned for complex node traversal and analysis.","nosql"
"Select the top 5 regions with the highest increase in renewable energy adoption of over 10% yearly,correlating with an economic growth of at least 3% over five years.","Developing renewable energy metrics alongside economic indicators fits well with relational models.","rdbms"
"List the top 8 pop-up restaurants which achieved Michelin recognition with temporary setups not lasting more than three months,but averaging $500k per month turnover across locations.","These time-bounded successes require SQL's efficiency in handling temporal constraints and turnover metrics.","rdbms"
"Trace the genealogy of a person back ten generations.","Relationship traversals in graphs can handle deep ancestry queries effectively.","graph"
"Find user recommendations based on previous interactions and similar users' behavior.","The ability to rapidly access and process large sets of semi structured data makes NoSQL suitable for recommendation algorithms.","nosql"
"Identify which movies have ratings below a certain threshold in all reviews.","Relational databases leverage joins and subqueries to effectively compare across datasets.","rdbms"
"Recognize asymmetric growth trends in regional demand for niche products driven by cultural events,serving customized outreach strategies.","*This requires a spatial and cultural lookup that NoSQL's schema-lax frameworks manage flexibly as opposed to formatted SQL constraints.*","nosql"
"Identify all influencers within five mutual connections of a key brand figure and who have increased their follower growth rate.","Social networks are naturally modeled as graphs due to connection dynamics.","graph"
"Determine the influence spread in a social network,defining users who can potentially influence at least 500 others through connections of at most four degrees.","Superior for social network analysis and influence spread modeling.","graph"
"Identify all investment opportunities connected through less than three mutual investors and have shown increased ROI.","Investor connections and shared investment strategies benefit from graph traversal capabilities.","graph"
"Identify artists who have exhibited in at least three different countries annually and increased their auction sale prices by 25% each year,over the previous decade.","Dealing with exhibition and sales records across geographies and times involves relational data efficiencies.","rdbms"
"Probe into real-time engagement feeds during livestream sales events,quantifying viewer-to-buyer conversion paths.","*Key-value stores document and respond to real-time engagement metrics rapidly,unlike potential SQL bottlenecks.*","nosql"
"Analyze the top 8 cities with the highest increase in ride-sharing usage,based on various vehicle types,over the last 18 months,including average ride cost per vehicle type.","Managing and analyzing transportation data with different types of vehicles and inconsistent data records fits NoSQL's structure.","nosql"
"List suppliers with an overall product rating above 4.5.","Utilizes relational joins and filtering which are natively handled well by SQL in relational databases.","rdbms"
"Find all customers who are within three levels of social connections from a VIP customer,have purchased more than five products,and find the shortest path to recommend a new product to them.","Efficiently traverses connections within a specified depth while filtering by purchase history.","graph"
"How can we identify communities or clusters in a social network?","Graph databases implement efficient algorithms like community detection to identify clusters based on connectivity.","graph"
"Create and query materialized views generated from server side scripts.","Scriptability akin to server side logic in databases.","nosql"
"Identify job switching trends within industries by examining career networks.","Connections between past and future employers are effectively queried in career progression graphs.","graph"
"Identify bottlenecks in a supply chain network and suggest alternative routes with fewer than five stops.","Graphs simplify route optimization processes and bottleneck identification.","graph"
"Identify historical events influencing current international treaties through indirect diplomatic connections and shared policy outcomes.","Requires recursive uncovering of historical and policy networks.","graph"
"Find all nearby locations of interest given a latitude/longitude.","NoSQL databases such as MongoDB provide geospatial indexing and querying capabilities that can handle large datasets efficiently.","nosql"
"Identify transport hubs connected by fewer than four railway lines to major terminals and show improvement in service ratings.","Transport networks are inherently graph-like,making such queries efficient for graph databases.","graph"
"Show students with grades in the top 10 percentile.","Handling ranking functions and precise filters is efficiently supported.","rdbms"
"Map the entwinement of multi-node engagement roadmaps productlining personalized user journeys,underscoring pre- and post-click facets across diversified channels.","*NoSQL's iterative computing boundaries secure a harmonious field for journey linearization away from urging nested relational manifests.*","nosql"
