nl_query,db
"Find all direct employees of a specific manager.
",graph
"Retrieve friends of a user within two degrees of separation.
",graph
"Discover the shortest path between two locations.
",graph
"Identify all products bought by customers in a specific city.
",graph
"Get all authors who have collaborated with a specific author.
",graph
"List all followers of a user on a social media platform.
",graph
"Find the most interconnected user in a network.
",graph
"Determine companies that have partnered with more than three others.
",graph
"Fetch all employees who work in the same department as a given employee.
",graph
"Identify common interests between two users.
",graph
"List all people who attended a specific event.
",graph
"Retrieve all nodes connected to a given node.
",graph
"Find all airlines that operate flights between two airports.
",graph
"Get all customers connected to a specific salesperson.
",graph
"Locate all mutual friends between two users.
",graph
"Retrieve all hierarchical dependencies of a specific task in a project.
",graph
"Find all mentors connected to a specific student.
",graph
"Identify nodes that form a cycle in the network.
",graph
"Fetch all organizations involved in a specific industry.
",graph
"List all tags related to a given blog post.
",graph
"Discover all transactions involving a particular account.
",graph
"Identify users who have interacted with a specific post.
",graph
"Retrieve all movies featuring a specific actor.
",graph
"Find all direct reports for a particular supervisor.
",graph
"Get all related concepts to a specific concept in an ontology.
",graph
"List all sequences of collaborations between two researchers.
",graph
"Retrieve all nodes with a specific property value.
",graph
"Discover all pathways connected to a protein in a biological network.
",graph
"Find potential influencers in a social network.
",graph
"Identify communities within a social network.
",graph
"Fetch all nodes with the highest degree of connection.
",graph
"Locate all courses related to a specific topic.
",graph
"List all relationships for a given node.
",graph
"Retrieve all products similar to a specific product based on attributes.
",graph
"Find all paths between two nodes within a maximum number of hops.
",graph
"Get all projects a certain team has worked on together.
",graph
"Identify the central node in a transportation network.
",graph
"Fetch all suppliers of a particular component in a supply chain.
",graph
"List all child pages linked from a given webpage.
",graph
"Retrieve all ingredients connected to a specific recipe.
",graph
"Find all transactions linked to a specific purchase order.
",graph
"Identify the most popular user based on the number of followers.
",graph
"Get all dependencies of a software package.
",graph
"List all songs related to a specific artist in a music graph.
",graph
"Retrieve all members of a specific group within a network.
",graph
"Find customers who frequently bought a specific category of products.
",graph
"Discover all publications citing a particular paper.
",graph
"Fetch all content nodes related to a specific keyword.
",graph
"Locate all software components compatible with a given framework.
",graph
"List all courses that are prerequisites for a specific course.
",graph
"Retrieve all alternate routes between two transportation hubs.
",graph
"Find relationships where a person is both mentee and mentor.
",graph
"Get all speakers who have presented at multiple conferences.
",graph
"Identify the longest path in a project dependency graph.
",graph
"Locate all similar businesses to a specific business type.
",graph
"Retrieve all relationships with a weight above a certain threshold.
",graph
"Fetch all movies rated by a specific user.
",graph
"Discover actors that have co-starred with a particular star.
",graph
"List all modules interacting with a given module in software.
",graph
"Retrieve all financial transactions involving a certain currency.
",graph
"Find all customers connected to a specific service request.
",graph
"Get all social media posts related to a particular hashtag.
",graph
"Identify communities based on shared interests.
",graph
"Fetch all recommendations based on a user’s purchasing history.
",graph
"Locate all influencers who follow a particular brand.
",graph
"Retrieve all service calls linked to a particular incident.
",graph
"Find all nodes without outgoing edges.
",graph
"List all endpoints accessible from a starting node.
",graph
"Retrieve all event logs associated with a specific user activity.
",graph
"Get all direct ancestor nodes for a particular node.
",graph
"Identify the most influential Node in a political network.
",graph
"Fetch all issues related to a particular project in a bug tracker.
",graph
"Locate all related phrases to a term in a linguistic network.
",graph
"List all subprocesses of a specific business process.
",graph
"Retrieve all transport options between two geographical points.
",graph
"Find all loans associated with a particular branch in a bank.
",graph
"Discover all competitors for a specific product.
",graph
"Fetch all academic papers related to a certain research field.
",graph
"Locate all charitable activities linked to a specific cause.
",graph
"List all regulatory entities overseeing a particular business type.
",graph
"Retrieve all books recommended for a specific genre.
",graph
"Identify potential collaborators in a research network.
",graph
"Fetch all error messages associated with a specific component.
",graph
"Find all direct flights from a particular airport.
",graph
"Get all game levels closely related to a specific level in a game.
",graph
"List all support tickets opened by a specific customer.
",graph
"Retrieve all news articles linked to a certain topic.
",graph
"Locate all influencers who have interacted with a specific campaign.
",graph
"Fetch all patents related to a specific technology.
",graph
"Identify all dependencies required for a specific deployment.
",graph
"Find all tourist attractions near a given location.
",graph
"Get all chat conversations involving a specific product complaint.
",graph
"Discover all check-ins by users at a particular venue.
",graph
"Locate all waterways connecting two bodies of water.
",graph
"List all courses enrolled by students in a particular major.
",graph
"Retrieve all games connected to a specific gaming tournament.
",graph
"Identify the most referenced document in a citation network.
",graph
"Fetch all environmental reports linked to a certain policy.
",graph
"Get all professional connections of a person within a company LinkedIn network.
",graph
"Find all artists whose work was featured at an art exhibition.
",graph
"Locate all connections between data nodes in a microservices architecture.
",graph
"List all steps in a manufacturing process.
",graph
"Retrieve all collaborations between companies in an industry sector.
",graph
"Identify all roads with a specific traffic condition in a map database.
",graph
"Fetch all research projects funded by a specific grant.
",graph
"Find all followers of a prominent figure within an organization.
",graph
"Get top-rated reviews for a specific restaurant.
",graph
"List all associations between different scientific methods.
",graph
"Retrieve all nodes with the least number of connections.
",graph
"Identify customer journeys that led to successful purchases.
",graph
"Fetch all related legislative bills to a specific act.
",graph
"Locate all direct descendants of a specific ancestor in a family tree.
",graph
"List all strategic alliances between multinational companies.
",graph
"Retrieve all co-authored books in a library database.
",graph
"Identify all structural dependencies in a bridge engineering model.
",graph
"Find all recipes that share common ingredients with a specific recipe.
",graph
"Get all software libraries dependent on a given library.
",graph
"Locate all collaboration chains between musicians and producers.
",graph
"List all nodes grouped by specific attributes in a cluster.
",graph
"Retrieve all tasks assigned to teams under a project manager.
",graph
"Find all alternative technologies to a specific solution in a technology network.
",graph
"Find all direct friends of John.
",graph
"List all employees in the Engineering department.
",graph
"Retrieve people who like both Python and JavaScript.
",graph
"Show movies directed by Christopher Nolan.
",graph
"Identify all cities connected by direct flights to New York.
",graph
"Find shortest path between Alice and Bob.
",graph
"What projects are managed by Sarah?
",graph
"Retrieve all products that are often bought together.
",graph
"Who are the authors of books published in 2020?
",graph
"List all social media posts tagged with #technology.
",graph
"Find all restaurants that serve vegan food.
",graph
"Who follows both Elon Musk and Bill Gates on Twitter?
",graph
"Retrieve all courses taken by Mathematics majors.
",graph
"List all family members of Michael.
",graph
"Find all songs by The Beatles.
",graph
"What movies star both Brad Pitt and Angelina Jolie?
",graph
"List all friends of a friend of John without duplicates.
",graph
"Retrieve all blogs written by Jane Doe.
",graph
"Which employees report directly to the CEO?
",graph
"Find all events occurring in March 2023.
",graph
"Who are the collaborators on the project titled ""Apollo""?
",graph
"What are the common interests between Emma and Emily?
",graph
"Retrieve all devices interacting with server A.
",graph
"List all suppliers who provide component X.
",graph
"Who are the investors in startup Y?
",graph
"Find all patents filed by inventor Z.
",graph
"What are the courses prerequisites for Calculus 101?
",graph
"List all trains passing through station A.
",graph
"Retrieve podcasts featuring Dr. Smith.
",graph
"Find users who purchased Product B in the last month.
",graph
"What are the top three mutual connections between Alice and Carol?
",graph
"List all ingredients used in recipe A.
",graph
"Retrieve all articles authored by someone from Harvard.
",graph
"How are Alice and David indirectly connected?
",graph
"Find companies operating in both Europe and Asia.
",graph
"List all works referenced by paper titled ""Quantum Mechanics"".
",graph
"Who are the board members of Corporation ABC?
",graph
"Retrieve movies with a Rotten Tomatoes score above 90.
",graph
"What startups are in the fintech domain?
",graph
"Find all followers of influencer X.
",graph
"List all books translated into French.
",graph
"What are the research areas of professor Y?
",graph
"Retrieve all car brands that are German-made.
",graph
"List teaching assistants for Psychology 101.
",graph
"Who liked both post A and post B on social media?
",graph
"Find wine brands originating from Italy.
",graph
"List all scenes featuring the main character in Movie Z.
",graph
"Retrieve all workshops attended by employee A.
",graph
"What firms had a merger in 2022?
",graph
"Find all companies founded by the same person.
",graph
"List all top-selling items in category B.
",graph
"Retrieve all community members active in forum C.
",graph
"What books are part of the Sci-Fi genre?
",graph
"Find teams participating in the championship.
",graph
"List all artworks currently housed in Museum Q.
",graph
"Retrieve members of the editorial board for Journal R.
",graph
"Who are the top influencers in the fitness industry?
",graph
"Find patients with appointments in Clinic T.
",graph
"List countries collaborating in space research.
",graph
"Retrieve podcasts related to finance.
",graph
"What items are in the shopping cart of user X?
",graph
"Find all train connections from Berlin.
",graph
"List all endangered species.
",graph
"What are the active romance writers in the last 5 years?
",graph
"Retrieve speakers from TEDx events.
",graph
"Find mutual fund portfolios including Energy stocks.
",graph
"What are trending topics in the Gaming community?
",graph
"List animals featured in National Geographic.
",graph
"Retrieve all gym members who enrolled in 2023.
",graph
"Who are the political leaders in the European Union?
",graph
"Find hospitals conducting research on cancer.
",graph
"List startups backed by investor Y.
",graph
"What are the prevalent diseases in region A?
",graph
"Retrieve all conference proceedings on Artificial Intelligence.
",graph
"Find direct business competitors for Brand C.
",graph
"List athletes in the Hall of Fame.
",graph
"Retrieve all published cookbooks in 2021.
",graph
"Who are the members of band Z?
",graph
"Find podcasts hosted by a person named Kevin.
",graph
"What are the accreditation bodies for universities in Canada?
",graph
"List competing brands in the smartphone market.
",graph
"Retrieve all episodes of series B.
",graph
"What are the differences between Alice's and Bob's playlists?
",graph
"List ingredients that are allergens in Menu A.
",graph
"Find artists with exhibitions in 2023.
",graph
"Retrieve major ports in the Mediterranean Sea.
",graph
"Who are the regular contributors to the Open Source project X?
",graph
"List software engineers skilled in Go and Rust.
",graph
"What are bestselling novels in the 21st century?
",graph
"Retrieve university affiliates working on climate change.
",graph
"Find historic landmarks within Paris.
",graph
"List all events organized by association P.
",graph
"What are the credentials of speakers at the upcoming conference?
",graph
"Retrieve all trademarks held by Corporation U.
",graph
"Find all mentors for the startup accelerator program.
",graph
"List cities with the fastest internet connection speeds.
",graph
"Retrieve historical figures mentioned alongside Churchill.
",graph
"What projects align with the Paris Agreement goals?
",graph
"Find computer science graduates employed in Silicon Valley.
",graph
"List recipes containing both chocolate and coconut.
",graph
"Who attended both conference A and B?
",graph
"Retrieve all renewable energy projects in Asia.
",graph
"Find members of the Nobel Prize selection committee.
",graph
"List known vulnerabilities in software version X.Y.Z.
",graph
"What films show Paris during the 1800s?
",graph
"Retrieve all feedback for Product O.
",graph
"Find customers who churned in Q1 2023.
",graph
"List all utilities supplied to building T.
",graph
"What are the common travel destinations for Group A?
",graph
"Retrieve alumni who donated to the university.
",graph
"Find child friendly movies released in the 1990s.
",graph
"List destinations accessible by cruise from Miami.
",graph
"What are the mandatory vaccinations in country Z?
",graph
"Retrieve tech companies with sustainability missions.
",graph
"Find job openings in Biotech firms.
",graph
"What are the critical dependencies for Project B?
",graph
"List technology partners of Corporation H.
",graph
"Retrieve brands endorsed by celebrity C.
",graph
"Find all women mathematicians in history.
",graph
"List joint ventures by companies in 2021.
",graph
"What are the core philosophies of movements in the 1960s?
",graph
"Retrieve all endorsements authors received in 2022.
",graph
"Social Networks
",graph
"Who are all the direct friends of John?
",graph
"Find mutual friends between Alice and Bob.
",graph
"Who has the highest number of connections in the network?
",graph
"Suggest potential friends for Charlie based on common interests.
",graph
"Which users are influencers in this social network?
",graph
"Find the shortest path between Eve and Dave.
",graph
"Identify groups of people who frequently interact with each other.
",graph
"List all the posts liked by Jane.
",graph
